,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
512,26,male,2,rent,little,rich,2687,15,business,low
513,20,male,2,rent,little,moderate,585,12,radio/TV,low
514,54,male,2,own,NA,NA,2255,24,car,low
515,37,female,2,own,little,little,609,6,car,low
516,40,male,1,own,little,little,1361,6,car,low
517,23,female,2,rent,little,NA,7127,36,furniture/equipment,high
518,43,male,2,own,moderate,little,1203,6,car,low
519,36,male,2,free,NA,NA,700,6,radio/TV,low
520,44,male,2,free,little,NA,5507,24,repairs,low
521,24,female,2,own,little,little,3190,18,radio/TV,high
522,53,male,2,free,little,little,7119,48,furniture/equipment,high
523,23,female,2,own,moderate,NA,3488,24,car,low
524,26,female,1,own,little,moderate,1113,18,radio/TV,low
525,30,male,2,own,little,moderate,7966,26,car,low
526,31,female,2,own,moderate,NA,1532,15,education,low
527,42,male,1,own,little,NA,1503,4,radio/TV,low
528,31,male,2,rent,little,little,2302,36,radio/TV,high
529,41,male,1,own,little,little,662,6,car,low
530,32,male,2,own,little,moderate,2273,36,education,low
531,28,female,2,rent,moderate,moderate,2631,15,car,high
532,41,male,2,rent,little,NA,1503,12,car,low
533,26,male,2,own,moderate,NA,1311,24,radio/TV,low
534,25,male,2,own,NA,NA,3105,24,radio/TV,low
535,33,male,2,rent,little,rich,2319,21,education,high
536,75,female,3,own,NA,little,1374,6,car,low
537,37,female,2,own,little,moderate,3612,18,furniture/equipment,low
538,42,male,3,free,little,little,7763,48,car,high
539,45,female,1,own,little,rich,3049,18,furniture/equipment,low
540,23,male,2,rent,little,moderate,1534,12,radio/TV,high
541,60,male,2,free,little,NA,2032,24,car,low
542,31,male,2,own,NA,little,6350,30,furniture/equipment,high
543,34,male,1,own,little,rich,2864,18,furniture/equipment,high
544,61,male,1,own,little,NA,1255,12,car,low
545,43,male,2,free,little,little,1333,24,car,high
546,37,female,2,own,little,NA,2022,24,car,low
547,32,male,2,own,little,NA,1552,24,radio/TV,low
548,24,female,1,own,little,little,626,12,radio/TV,high
549,35,male,2,free,NA,NA,8858,48,car,low
550,23,female,2,own,NA,NA,996,12,repairs,low
551,45,male,1,own,quite rich,NA,1750,6,radio/TV,low
552,34,male,2,own,little,little,6999,48,radio/TV,high
553,27,male,2,own,moderate,moderate,1995,12,car,low
554,67,female,3,own,little,moderate,1199,9,education,low
555,22,male,2,own,little,moderate,1331,12,radio/TV,high
556,28,female,2,own,moderate,moderate,2278,18,car,high
557,29,female,2,own,NA,NA,5003,21,car,high
558,27,male,2,own,little,little,3552,24,furniture/equipment,high
559,31,male,1,own,little,moderate,1928,18,furniture/equipment,high
560,49,male,2,free,NA,little,2964,24,car,low
561,24,male,1,rent,little,little,1546,24,radio/TV,high
562,29,female,2,own,little,rich,683,6,radio/TV,low
563,37,male,2,free,NA,moderate,12389,36,car,high
564,37,male,3,own,NA,moderate,4712,24,business,low
565,23,female,2,rent,moderate,moderate,1553,24,radio/TV,low
566,36,male,2,own,little,little,1372,12,car,high
567,34,male,2,own,rich,NA,2578,24,radio/TV,low
568,41,male,2,own,NA,moderate,3979,48,radio/TV,low
569,31,female,2,own,little,little,6758,48,radio/TV,high
570,23,female,1,rent,little,little,3234,24,furniture/equipment,high
571,38,male,2,own,little,NA,5954,30,radio/TV,low
572,26,female,3,rent,NA,NA,5433,24,car,low
573,22,female,1,own,little,little,806,15,business,low
574,27,male,1,own,little,moderate,1082,9,radio/TV,low
575,24,female,2,own,little,NA,2788,15,furniture/equipment,low
576,27,female,2,own,little,moderate,2930,12,radio/TV,low
577,33,female,2,own,NA,NA,1927,24,education,low
578,27,male,2,own,little,moderate,2820,36,car,high
579,27,male,1,own,little,NA,937,24,education,low
580,30,male,2,own,little,moderate,1056,18,car,high
581,49,male,1,own,little,moderate,3124,12,car,low
582,26,female,2,rent,little,NA,1388,9,furniture/equipment,low
583,33,male,1,rent,little,moderate,2384,36,repairs,high
584,52,female,3,free,NA,NA,2133,12,car,low
585,20,female,2,rent,little,little,2039,18,furniture/equipment,high
586,36,male,2,rent,little,little,2799,9,car,low
587,21,male,1,own,little,little,1289,12,furniture/equipment,low
588,47,male,1,own,little,little,1217,18,domestic appliances,high
589,60,male,2,own,little,little,2246,12,furniture/equipment,high
590,58,female,1,own,little,little,385,12,radio/TV,low
591,42,female,2,rent,NA,moderate,1965,24,car,low
592,36,female,1,own,rich,NA,1572,21,business,low
593,20,female,1,rent,little,moderate,2718,24,car,high
594,40,male,3,own,NA,little,1358,24,vacation/others,high
595,32,female,1,own,moderate,moderate,931,6,car,high
596,23,female,2,rent,little,little,1442,24,car,high
597,36,male,1,own,little,moderate,4241,24,business,high
598,31,male,2,own,little,NA,2775,18,car,high
599,32,male,2,free,little,NA,3863,24,business,low
600,45,female,2,own,little,moderate,2329,7,radio/TV,low
601,30,female,2,own,little,moderate,918,9,furniture/equipment,high
602,34,female,1,free,little,moderate,1837,24,education,high
603,28,female,3,own,little,NA,3349,36,furniture/equipment,high
604,23,female,2,own,little,rich,1275,10,furniture/equipment,low
605,22,male,2,own,quite rich,little,2828,24,furniture/equipment,low
606,74,male,3,own,little,NA,4526,24,business,low
607,50,female,2,free,moderate,moderate,2671,36,radio/TV,high
608,33,male,2,own,little,NA,2051,18,radio/TV,low
609,45,male,2,free,NA,NA,1300,15,car,low
610,22,female,2,own,moderate,little,741,12,domestic appliances,high
611,48,female,1,free,moderate,rich,1240,10,car,high
612,29,female,2,own,rich,little,3357,21,radio/TV,low
613,22,female,2,rent,little,little,3632,24,car,low
614,22,female,2,own,little,NA,1808,18,furniture/equipment,high
615,48,male,3,own,NA,moderate,12204,48,business,low
616,27,male,3,free,NA,moderate,9157,60,radio/TV,low
617,37,male,2,rent,little,little,3676,6,car,low
618,21,female,2,rent,moderate,moderate,3441,30,furniture/equipment,high
619,49,male,1,own,little,NA,640,12,car,low
620,27,male,2,own,little,moderate,3652,21,business,low
621,32,male,2,own,little,NA,1530,18,car,high
622,38,male,2,own,NA,NA,3914,48,business,high
623,22,female,2,rent,little,little,1858,12,furniture/equipment,low
624,65,male,2,free,little,little,2600,18,radio/TV,high
625,35,male,2,own,NA,NA,1979,15,radio/TV,low
626,41,male,2,own,little,rich,2116,6,furniture/equipment,low
627,29,male,2,own,moderate,moderate,1437,9,car,high
628,36,male,2,own,quite rich,NA,4042,42,furniture/equipment,low
629,64,male,1,own,NA,NA,3832,9,education,low
630,28,female,2,own,little,little,3660,24,radio/TV,low
631,44,male,2,own,little,little,1553,18,furniture/equipment,high
632,23,male,2,own,NA,moderate,1444,15,radio/TV,low
633,19,female,2,rent,little,NA,1980,9,furniture/equipment,high
634,25,female,1,own,little,moderate,1355,24,car,high
635,47,male,2,own,little,NA,1393,12,education,low
636,28,female,2,own,quite rich,NA,1376,24,radio/TV,low
637,21,male,2,own,little,NA,15653,60,radio/TV,low
638,34,female,2,own,little,NA,1493,12,radio/TV,low
639,26,male,2,own,little,little,4370,42,radio/TV,high
640,27,female,0,own,little,little,750,18,education,high
641,38,male,1,own,little,moderate,1308,15,repairs,low
642,40,male,3,own,moderate,NA,4623,15,education,high
643,33,male,2,own,little,NA,1851,24,radio/TV,low
644,32,male,3,own,little,little,1880,18,radio/TV,low
645,27,male,2,rent,NA,NA,7980,36,business,high
646,32,male,2,own,little,little,4583,30,furniture/equipment,low
647,26,female,2,own,quite rich,NA,1386,12,car,high
648,38,male,2,free,little,rich,947,24,car,high
649,40,male,1,rent,little,little,684,12,education,high
650,50,male,3,free,little,little,7476,48,education,low
651,37,male,1,own,little,moderate,1922,12,furniture/equipment,high
652,45,male,2,own,little,little,2303,24,car,high
653,42,male,3,own,moderate,moderate,8086,36,car,high
654,35,male,2,own,little,NA,2346,24,car,low
655,22,male,2,free,little,little,3973,14,car,low
656,41,male,1,own,little,moderate,888,12,car,high
657,37,male,2,own,NA,NA,10222,48,radio/TV,low
658,28,female,2,own,little,moderate,4221,30,business,low
659,41,male,2,own,little,moderate,6361,18,furniture/equipment,low
660,23,male,2,rent,little,rich,1297,12,radio/TV,low
661,23,male,2,own,NA,little,900,12,car,high
662,50,male,2,own,little,NA,2241,21,furniture/equipment,low
663,35,male,3,own,little,moderate,1050,6,furniture/equipment,low
664,50,female,1,own,little,rich,1047,6,education,low
665,27,male,3,own,little,NA,6314,24,vacation/others,low
666,34,male,2,own,rich,moderate,3496,30,furniture/equipment,low
667,27,female,2,own,little,NA,3609,48,business,low
668,43,male,2,rent,little,little,4843,12,car,high
669,47,male,2,own,little,rich,3017,30,radio/TV,low
670,27,male,1,own,moderate,NA,4139,24,business,low
671,31,male,2,own,moderate,NA,5742,36,business,low
672,42,male,3,own,little,NA,10366,60,car,low
673,24,male,2,own,quite rich,NA,2080,6,car,low
674,41,male,1,own,quite rich,NA,2580,21,business,high
675,26,female,3,rent,little,NA,4530,30,radio/TV,low
676,33,male,2,own,little,NA,5150,24,furniture/equipment,low
677,24,male,2,own,moderate,moderate,5595,72,radio/TV,high
678,64,male,1,rent,little,little,2384,24,radio/TV,low
679,26,female,2,own,little,NA,1453,18,radio/TV,low
680,56,female,2,own,little,NA,1538,6,education,low
681,37,male,2,free,NA,NA,2279,12,radio/TV,low
682,33,male,2,own,little,NA,1478,15,radio/TV,low
683,47,male,2,free,little,NA,5103,24,radio/TV,low
684,31,male,1,own,moderate,moderate,9857,36,business,low
685,34,male,2,free,NA,NA,6527,60,car,low
686,27,male,2,own,NA,rich,1347,10,radio/TV,low
687,30,male,2,free,moderate,moderate,2862,36,car,low
688,35,male,2,own,moderate,NA,2753,9,radio/TV,low
689,31,male,2,own,rich,little,3651,12,car,low
690,25,male,2,own,little,little,975,15,furniture/equipment,low
691,25,female,1,own,moderate,moderate,2631,15,repairs,low
692,29,male,2,own,moderate,moderate,2896,24,radio/TV,low
693,44,male,1,own,NA,little,4716,6,car,low
694,28,male,2,own,little,NA,2284,24,radio/TV,low
695,50,male,2,rent,quite rich,NA,1236,6,car,low
696,29,male,2,own,little,moderate,1103,12,radio/TV,low
697,38,female,0,own,little,NA,926,12,car,low
698,24,male,2,own,little,NA,1800,18,radio/TV,low
699,40,male,3,rent,little,rich,1905,15,education,low
700,29,female,1,rent,quite rich,NA,1123,12,furniture/equipment,high
701,46,male,2,free,little,little,6331,48,car,high
702,47,female,2,free,moderate,rich,1377,24,radio/TV,low
703,41,male,2,own,moderate,moderate,2503,30,business,low
704,32,female,2,own,little,moderate,2528,27,business,low
705,35,female,2,free,quite rich,NA,5324,15,car,low
706,24,male,2,own,moderate,moderate,6560,48,car,high
707,25,female,2,rent,little,moderate,2969,12,furniture/equipment,high
708,25,female,2,own,little,moderate,1206,9,radio/TV,low
709,37,male,1,own,little,moderate,2118,9,radio/TV,low
710,32,male,3,own,quite rich,NA,629,18,radio/TV,low
711,35,female,2,free,little,little,1198,6,education,high
712,46,male,3,own,NA,NA,2476,21,car,low
713,25,male,1,own,little,little,1138,9,radio/TV,low
714,27,male,3,own,little,moderate,14027,60,car,high
715,63,male,2,own,NA,NA,7596,30,car,low
716,40,male,2,own,NA,NA,3077,30,radio/TV,low
717,32,male,3,free,little,NA,1505,18,radio/TV,low
718,31,male,2,own,NA,rich,3148,24,radio/TV,low
719,31,male,2,own,moderate,moderate,6148,20,car,low
720,34,male,3,own,little,rich,1337,9,radio/TV,high
721,24,female,2,rent,rich,moderate,433,6,education,high
722,24,female,1,own,little,little,1228,12,car,high
723,66,female,1,own,quite rich,moderate,790,9,radio/TV,low
724,21,female,2,rent,little,NA,2570,27,car,high
725,41,female,1,own,rich,NA,250,6,car,low
726,47,male,1,own,quite rich,NA,1316,15,radio/TV,low
727,25,female,2,rent,little,little,1882,18,radio/TV,high
728,59,female,2,rent,little,moderate,6416,48,business,high
729,36,male,2,own,rich,rich,1275,24,business,low
730,33,male,2,own,little,moderate,6403,24,radio/TV,low
731,21,male,1,rent,little,little,1987,24,radio/TV,high
732,44,female,1,own,little,moderate,760,8,radio/TV,low
733,28,female,2,rent,rich,NA,2603,24,car,low
734,37,female,2,own,little,NA,3380,4,car,low
735,29,female,0,own,NA,moderate,3990,36,domestic appliances,low
736,23,female,3,rent,little,moderate,11560,24,car,high
737,35,male,1,own,moderate,little,4380,18,car,low
738,45,male,3,own,little,NA,6761,6,car,low
739,26,female,1,rent,moderate,moderate,4280,30,business,high
740,32,male,2,own,moderate,little,2325,24,car,low
741,23,male,1,own,little,moderate,1048,10,radio/TV,low
742,41,male,2,own,NA,NA,3160,21,radio/TV,low
743,22,male,2,own,quite rich,little,2483,24,furniture/equipment,low
744,30,male,3,own,NA,little,14179,39,furniture/equipment,low
745,28,male,1,own,little,little,1797,13,business,low
746,23,female,2,rent,little,little,2511,15,car,low
747,37,female,1,own,little,little,1274,12,car,high
748,26,male,2,own,NA,NA,5248,21,car,low
749,33,male,2,own,little,NA,3029,15,car,low
750,49,female,2,own,little,little,428,6,furniture/equipment,low
751,23,female,1,own,little,little,976,18,car,high
752,23,female,1,rent,moderate,moderate,841,12,business,low
753,25,female,2,own,little,NA,5771,30,radio/TV,low
754,55,male,2,free,rich,NA,1555,12,repairs,high
755,32,female,2,rent,NA,little,1285,24,car,high
756,74,male,0,own,little,rich,1299,6,car,low
757,39,male,2,free,NA,rich,1271,15,radio/TV,high
758,31,male,2,own,little,NA,1393,24,car,low
759,35,male,2,own,little,little,691,12,car,high
760,59,female,2,own,NA,NA,5045,15,car,low
761,24,female,2,rent,little,little,2124,18,furniture/equipment,high
762,24,male,1,own,little,little,2214,12,radio/TV,low
763,30,male,3,free,NA,NA,12680,21,car,high
764,27,male,2,own,moderate,NA,2463,24,car,low
765,40,male,1,own,little,moderate,1155,12,radio/TV,low
766,31,male,1,own,little,little,3108,30,furniture/equipment,high
767,31,female,2,rent,NA,NA,2901,10,car,low
768,28,male,2,rent,little,moderate,3617,12,furniture/equipment,low
769,63,male,1,own,little,NA,1655,12,radio/TV,low
770,26,female,2,rent,NA,little,2812,24,car,low
771,25,female,3,own,little,little,8065,36,education,high
772,36,male,3,own,little,NA,3275,21,car,low
773,52,male,2,own,moderate,NA,2223,24,radio/TV,low
774,66,male,0,free,quite rich,rich,1480,12,car,low
775,25,female,2,rent,NA,little,1371,24,car,high
776,37,male,2,own,little,NA,3535,36,car,low
777,25,female,2,own,little,little,3509,18,radio/TV,low
778,38,male,3,own,rich,NA,5711,36,car,low
779,67,female,2,own,little,moderate,3872,18,repairs,low
780,25,male,2,own,little,moderate,4933,39,radio/TV,high
781,60,male,2,own,rich,NA,1940,24,car,low
782,31,male,1,own,little,moderate,1410,12,education,low
783,23,female,1,own,moderate,moderate,836,12,car,high
784,60,male,3,own,NA,moderate,6468,20,car,low
785,35,male,1,own,rich,moderate,1941,18,business,low
786,40,male,2,own,quite rich,NA,2675,22,radio/TV,low
787,38,male,2,own,NA,NA,2751,48,car,low
788,50,male,2,free,little,moderate,6224,48,education,high
789,27,male,2,own,little,little,5998,40,education,high
790,39,female,2,own,little,moderate,1188,21,business,high
791,41,male,3,own,NA,NA,6313,24,car,low
792,27,male,2,own,NA,NA,1221,6,furniture/equipment,low
793,51,male,2,free,little,rich,2892,24,furniture/equipment,low
794,32,male,2,rent,quite rich,NA,3062,24,furniture/equipment,low
795,22,female,2,rent,moderate,NA,2301,9,furniture/equipment,low
796,51,male,2,free,NA,little,7511,18,car,high
797,22,female,1,rent,little,NA,1258,12,furniture/equipment,low
798,54,male,2,own,NA,NA,717,24,car,low
799,35,male,0,own,NA,moderate,1549,9,car,low
800,54,male,2,free,little,NA,1597,24,education,low
801,48,female,1,rent,little,moderate,1795,18,radio/TV,low
802,24,female,2,own,little,little,4272,20,furniture/equipment,low
803,35,male,2,own,NA,NA,976,12,radio/TV,low
804,24,female,0,rent,NA,moderate,7472,12,car,low
805,24,male,2,own,little,little,9271,36,car,high
806,26,male,1,own,little,moderate,590,6,radio/TV,low
807,65,male,2,own,NA,NA,930,12,radio/TV,low
808,55,male,3,free,little,moderate,9283,42,car,low
809,26,female,0,rent,little,moderate,1778,15,car,high
810,26,male,2,own,little,moderate,907,8,business,low
811,28,male,1,own,little,moderate,484,6,radio/TV,low
812,24,male,2,own,little,little,9629,36,car,high
813,54,male,2,own,little,little,3051,48,domestic appliances,high
814,46,male,2,free,little,little,3931,48,car,high
815,54,female,2,rent,little,moderate,7432,36,car,low
816,62,male,2,own,quite rich,NA,1338,6,domestic appliances,low
817,24,female,2,rent,little,NA,1554,6,radio/TV,low
818,43,male,3,own,little,little,15857,36,vacation/others,low
819,26,male,2,own,little,little,1345,18,radio/TV,high
820,27,male,2,own,little,NA,1101,12,car,low
821,24,male,2,own,little,rich,3016,12,radio/TV,low
822,41,male,2,own,little,little,2712,36,furniture/equipment,high
823,47,male,1,own,little,little,731,8,car,low
824,35,male,3,own,little,NA,3780,18,furniture/equipment,low
825,30,male,2,own,little,little,1602,21,car,low
826,33,female,2,rent,little,little,3966,18,car,high
827,36,male,2,own,little,NA,4165,18,business,high
828,47,male,2,free,NA,little,8335,36,car,high
829,38,male,2,free,NA,moderate,6681,48,business,low
830,44,male,2,own,quite rich,NA,2375,24,business,low
831,23,female,2,rent,little,little,1216,18,car,high
832,29,male,2,rent,little,little,11816,45,business,high
833,42,female,2,own,NA,moderate,5084,24,radio/TV,low
834,25,female,1,own,little,rich,2327,15,radio/TV,high
835,48,male,2,own,little,little,1082,12,car,high
836,21,female,2,own,NA,NA,886,12,radio/TV,low
837,23,female,1,rent,little,NA,601,4,furniture/equipment,low
838,63,male,2,own,little,little,2957,24,car,low
839,46,male,2,own,little,NA,2611,24,radio/TV,low
840,29,male,2,own,little,little,5179,36,furniture/equipment,high
841,28,male,1,own,little,NA,2993,21,car,low
842,23,female,2,own,little,NA,1943,18,repairs,high
843,50,male,2,own,little,NA,1559,24,business,low
844,47,male,2,own,little,NA,3422,18,furniture/equipment,low
845,35,male,2,own,NA,moderate,3976,21,furniture/equipment,low
846,68,male,2,rent,NA,NA,6761,18,car,high
847,28,male,2,own,little,NA,1249,24,car,low
848,59,male,2,own,little,little,1364,9,radio/TV,low
849,57,male,1,own,little,little,709,12,radio/TV,high
850,33,male,2,rent,little,little,2235,20,car,high
851,43,male,2,own,NA,NA,4042,24,car,low
852,35,male,2,free,little,NA,1471,15,radio/TV,low
853,32,male,1,free,little,little,1442,18,car,high
854,45,male,2,own,little,NA,10875,36,car,low
855,33,male,2,own,moderate,NA,1474,24,car,low
856,40,female,2,own,NA,NA,894,10,education,low
857,28,male,2,free,little,NA,3343,15,furniture/equipment,low
858,29,female,2,own,little,little,3959,15,car,high
859,26,male,2,rent,moderate,NA,3577,9,car,low
860,27,male,2,own,rich,NA,5804,24,car,low
861,28,male,2,own,little,NA,2169,18,business,high
862,35,female,2,own,little,little,2439,24,radio/TV,high
863,32,male,1,own,rich,NA,4526,27,furniture/equipment,low
864,25,male,1,rent,little,NA,2210,10,furniture/equipment,high
865,20,female,2,rent,quite rich,NA,2221,15,furniture/equipment,low
866,27,female,2,own,little,little,2389,18,radio/TV,low
867,42,male,2,own,little,NA,3331,12,furniture/equipment,low
868,37,male,2,own,NA,NA,7409,36,business,low
869,24,female,2,rent,little,little,652,12,furniture/equipment,low
870,40,female,2,own,quite rich,NA,7678,36,furniture/equipment,low
871,46,male,2,own,little,rich,1343,6,car,low
872,26,male,2,own,moderate,little,1382,24,business,low
873,24,female,2,own,NA,NA,874,15,domestic appliances,low
874,29,male,1,own,little,little,3590,12,furniture/equipment,low
875,40,female,2,own,rich,moderate,1322,11,car,low
876,36,male,3,free,little,little,1940,18,radio/TV,low
877,28,male,2,own,little,NA,3595,36,radio/TV,low
878,27,male,3,free,little,little,1422,9,car,high
879,36,male,2,own,NA,NA,6742,30,radio/TV,low
880,38,male,3,own,little,NA,7814,24,car,low
881,48,male,2,free,NA,NA,9277,24,car,low
882,36,male,2,own,NA,moderate,2181,30,car,low
883,65,female,0,own,little,NA,1098,18,radio/TV,low
884,43,male,2,own,little,moderate,4057,24,furniture/equipment,high
885,53,female,2,own,little,little,795,12,education,high
886,34,male,2,own,NA,moderate,2825,24,business,low
887,23,male,2,own,little,moderate,15672,48,business,high
888,34,male,3,own,little,NA,6614,36,car,low
889,40,male,2,rent,NA,NA,7824,28,car,low
890,43,male,3,own,little,little,2442,27,business,low
891,46,male,2,own,little,NA,1829,15,radio/TV,low
892,38,male,1,own,little,little,2171,12,car,low
893,34,male,2,own,little,moderate,5800,36,car,low
894,29,male,2,own,NA,NA,1169,18,radio/TV,low
895,31,male,3,own,NA,NA,8947,36,car,low
896,28,female,3,rent,little,little,2606,21,radio/TV,low
897,35,female,2,own,rich,NA,1592,12,furniture/equipment,low
898,33,female,1,rent,NA,NA,2186,15,furniture/equipment,low
899,42,male,2,own,little,little,4153,18,furniture/equipment,high
900,43,male,2,rent,little,little,2625,16,car,high
901,44,male,2,own,NA,NA,3485,20,car,low
902,42,male,2,free,NA,NA,10477,36,car,low
903,40,male,2,rent,NA,NA,1386,15,radio/TV,low
904,36,male,3,own,little,NA,1278,24,radio/TV,low
905,20,male,3,rent,little,little,1107,12,radio/TV,low
906,24,male,1,own,NA,little,3763,21,car,low
907,27,male,2,own,NA,moderate,3711,36,education,low
908,46,female,1,own,little,NA,3594,15,car,low
909,33,female,1,own,NA,moderate,3195,9,car,low
910,34,female,2,own,little,NA,4454,36,radio/TV,low
911,25,female,1,own,little,moderate,4736,24,furniture/equipment,high
912,25,female,2,own,NA,moderate,2991,30,radio/TV,low
913,28,male,2,own,rich,NA,2142,11,business,low
914,31,male,2,rent,little,little,3161,24,business,high
915,32,female,3,own,little,moderate,18424,48,vacation/others,high
916,32,male,2,own,moderate,NA,2848,10,car,low
917,68,male,3,own,little,little,14896,6,car,high
918,33,male,2,own,moderate,little,2359,24,furniture/equipment,high
919,39,male,3,rent,little,little,3345,24,furniture/equipment,high
920,28,female,2,own,little,NA,1817,18,furniture/equipment,low
921,37,male,3,own,quite rich,NA,12749,48,radio/TV,low
922,22,female,2,rent,little,little,1366,9,radio/TV,high
923,30,male,2,rent,little,moderate,2002,12,car,low
924,55,male,2,own,little,little,6872,24,furniture/equipment,high
925,46,male,2,own,little,little,697,12,car,high
926,21,female,2,rent,little,little,1049,18,furniture/equipment,low
927,39,male,2,free,little,little,10297,48,car,high
928,58,male,2,own,NA,NA,1867,30,radio/TV,low
929,43,male,1,own,little,little,1344,12,car,low
930,24,male,1,own,little,little,1747,24,furniture/equipment,low
931,22,female,2,own,little,moderate,1670,9,radio/TV,high
932,30,male,2,own,little,NA,1224,9,car,low
933,42,male,2,own,quite rich,NA,522,12,radio/TV,low
934,23,female,2,own,little,little,1498,12,radio/TV,low
935,30,male,3,own,moderate,moderate,1919,30,radio/TV,high
936,28,female,1,own,little,rich,745,9,radio/TV,high
937,30,male,3,rent,little,moderate,2063,6,radio/TV,low
938,42,male,2,free,little,moderate,6288,60,education,high
939,46,male,3,own,NA,NA,6842,24,car,low
940,45,male,3,own,NA,NA,3527,12,car,low
941,31,male,1,own,little,NA,1546,10,car,low
942,31,male,2,own,NA,NA,929,24,furniture/equipment,low
943,42,male,1,own,little,NA,1455,4,car,low
944,46,female,2,rent,little,little,1845,15,furniture/equipment,low
945,30,female,2,own,quite rich,moderate,8358,48,car,low
946,30,male,2,free,quite rich,little,3349,24,furniture/equipment,high
947,38,male,3,own,NA,NA,2859,12,car,low
948,43,male,1,own,little,NA,1533,18,furniture/equipment,high
949,31,male,2,own,moderate,NA,3621,24,radio/TV,high
950,40,male,0,own,little,moderate,3590,18,business,low
951,24,male,2,own,little,little,2145,36,business,high
952,28,female,2,rent,quite rich,moderate,4113,24,car,high
953,26,female,3,own,little,NA,10974,36,furniture/equipment,high
954,29,female,2,own,little,little,1893,12,car,low
955,57,female,3,rent,rich,little,1231,24,radio/TV,low
956,49,male,1,own,NA,rich,3656,30,radio/TV,low
957,37,male,1,own,little,moderate,1154,9,radio/TV,low
958,45,male,1,own,little,little,4006,28,car,high
959,30,male,2,free,moderate,moderate,3069,24,furniture/equipment,low
960,30,male,2,rent,little,NA,1740,6,radio/TV,low
961,47,male,2,own,little,moderate,2353,21,car,low
962,29,male,2,own,NA,NA,3556,15,car,low
963,35,male,2,own,quite rich,NA,2397,24,radio/TV,high
964,22,male,1,own,little,moderate,454,6,repairs,low
965,26,female,2,own,NA,moderate,1715,30,radio/TV,low
966,23,male,1,own,quite rich,moderate,2520,27,radio/TV,high
967,54,female,3,rent,little,NA,3568,15,radio/TV,low
968,29,male,2,rent,NA,NA,7166,42,radio/TV,low
969,40,male,1,own,little,little,3939,11,car,low
970,22,male,2,own,moderate,moderate,1514,15,repairs,low
971,43,male,1,own,little,NA,7393,24,car,low
972,29,female,0,rent,little,little,1193,24,car,high
973,36,male,2,rent,little,little,7297,60,business,high
974,33,female,2,own,little,NA,2831,30,radio/TV,low
975,57,female,1,own,quite rich,rich,1258,24,radio/TV,low
976,64,female,2,own,little,moderate,753,6,radio/TV,low
977,42,male,2,own,NA,moderate,2427,18,business,low
978,47,male,1,own,little,NA,2538,24,car,high
979,25,male,2,rent,moderate,moderate,1264,15,car,high
980,49,male,2,own,little,moderate,8386,30,furniture/equipment,high
981,33,male,3,rent,little,NA,4844,48,business,high
982,28,female,3,own,moderate,rich,2923,21,car,low
983,26,male,2,own,little,little,8229,36,car,high
984,30,male,1,own,little,NA,2028,24,furniture/equipment,low
985,25,female,2,rent,little,little,1433,15,furniture/equipment,low
986,33,male,2,own,little,rich,6289,42,business,low
987,64,female,2,own,moderate,NA,1409,13,radio/TV,low
988,29,male,3,free,little,little,6579,24,car,low
989,48,male,1,own,little,moderate,1743,24,radio/TV,low
990,37,male,1,own,NA,NA,3565,12,education,low
991,34,male,1,own,moderate,NA,1569,15,radio/TV,low
992,23,male,1,rent,NA,little,1936,18,radio/TV,low
993,30,male,3,own,little,little,3959,36,furniture/equipment,low
994,50,male,2,own,NA,NA,2390,12,car,low
995,31,female,1,own,little,NA,1736,12,furniture/equipment,low
996,40,male,3,own,little,little,3857,30,car,low
997,38,male,2,own,little,NA,804,12,radio/TV,low
998,23,male,2,free,little,little,1845,45,radio/TV,high
999,27,male,2,own,moderate,moderate,4576,45,car,low
